Name,Energy,Aperture,x,y,Rshift,MU
opf100B0,100,0,2.8,3.4,-4,6400
opf100B2,100,0,2.8,5.8,-1.6,6400
opf100B3,100,0,2.8,7.4,0,4800
opf100B4,100,0,2.8,10.17,2.77,6400
opf100B5,100,0,2.8,12.03,4.63,6400
opf100C0,100,0,4.3,3.28,-4.12,4800
opf100C2,100,0,4.3,5.82,-1.58,4800
opf100C3,100,0,4.3,7.08,-0.32,6400
opf100C4,100,0,4.3,10.3,2.9,4800
opf100D2,100,0,-1.1,9.35,1.95,4800
opf100D4,100,0,-1.1,11.37,3.97,4200
opf140B0,140,0,2.8,9.6,-4.06,1600
opf140B2,140,0,2.8,12,-1.66,1600
opf140B3,140,0,2.8,13.66,0,1600
opf140B4,140,0,2.8,16.5,2.84,4800
opf140B5,140,0,2.8,18,4.34,4800
opf140B6,140,0,2.8,19.53,5.87,4800
opf140B7,140,0,2.8,21.08,7.42,5600
opf140C0,140,0,4.3,9.6,-4.06,3200
opf140C1,140,0,4.3,10.5,-3.16,3200
opf140C2,140,0,4.3,12,-1.66,3200
opf140C3,140,0,4.3,13.6,-0.06,3200
opf140C4,140,0,4.3,16.5,2.84,4800
opf140C5,140,0,4.3,18.11,4.45,3200
opf140C6,140,0,4.3,19.5,5.84,4800
opf140C7,140,0,4.3,21,7.34,4800
opf140D2,140,0,-1.1,15.58,1.92,3200
opf140D3,140,0,-1.1,16.58,2.92,6400
opf140D4,140,0,-1.1,17.66,4,6400
opf140D6,140,0,-1.1,19.6,5.94,6400
opf140D8,140,0,-1.1,21.53,7.87,6400
opf140D9,140,0,-1.1,23.66,10,4800
apt100B0,100,1,2.8,3.4,-4,6724
apt100B2,100,1,2.8,5.8,-1.6,6724
apt100B3,100,1,2.8,7.4,0,6724
apt100B4,100,1,2.8,10.17,2.77,6724
apt100B5,100,1,2.8,12.03,4.63,6724
apt100C0,100,1,4.3,3.28,-4.12,6724
apt100C2,100,1,4.3,5.82,-1.58,6724
apt100C4,100,1,4.3,10.3,2.9,6724
apt100D2,100,1,-1.1,9.35,1.95,3362
apt100D4,100,1,-1.1,11.37,3.97,3362
apt140B0,140,1,2.8,9.6,-4.06,6724
apt140B2,140,1,2.8,12,-1.66,6724
apt140B3,140,1,2.8,13.66,0,6724
apt140B4,140,1,2.8,16.5,2.84,6724
apt140B5,140,1,2.8,18,4.34,3362
apt140B6,140,1,2.8,19.53,5.87,6724
apt140B7,140,1,2.8,21.08,7.42,6724
apt140C0,140,1,4.3,9.6,-4.06,6724
apt140C1,140,1,4.3,10.5,-3.16,6724
apt140C2,140,1,4.3,12,-1.66,10086
apt140C3,140,1,4.3,13.6,-0.06,6724
apt140C4,140,1,4.3,16.5,2.84,6724
apt140C5,140,1,4.3,18.11,4.45,6724
apt140C6,140,1,4.3,19.5,5.84,10086
apt140C7,140,1,4.3,21,7.34,6724
apt140D2,140,1,-1.1,15.58,1.92,6724
apt140D4,140,1,-1.1,17.66,4,6724
